Inventerings datum,Kund nummer,Kund,Kontaktperson,Telefonnummer,E-mail,Distrikt/ Ort,Fastighets beteckning,Hissbeteckning,Hissadress,Besiktningsorgan,Hissnummer,Besiktningsmånad,Skötselföretag,Märklast / Antal personer,Antal Plan/ Antal Dörrar,Typ av dörrar,Genomgång,Kollektiv,Bärbeslag automatdörrar typ och år,Dörrmaskin / Korgdörr typ och år,Korgstorlek BxDjxH i mm,Dagöppning dörrar BxH,Nödtelefon,Hastighet i m/s,Lyfthöjd i m,Schaktbelysning,Hisstyp,Byggår,Moderniseringsår,Garanti,Rekommenderat moderniseringsår,Uppdaterat budgetbelopp 2026,EJ aktuellt budgetbelopp,Drivsystem,Upphängning,Hiss Fabrikat,Maskinplacering,Typ av maskin och år,Typ av styrsystem och år,Övriga kommentarer,Åtgärder vid modernisering
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Baladgatan 2 lilla,Dekra,L7786856,April,Hissteknik,320*4,10*10,Slagdörrar,Nej,Nedkollektiv i grupp,Inga automatdörrar,Ingen korgdörr,815*1200*2320,700*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1999,Nej,2024,=SUM(AH13*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin,Asea HSE 30,Kone TMS50*1999,Reg. skylten saknas. UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Baladgatan 2 stora,Dekra,L7786874,April,Hissteknik,500*6,10*10,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv i grupp,Inga automatdörrar,Ingen korgdörr,1000*1900*2310,900*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1999,Nej,2024,=SUM(AH14*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin dubbel omslutning,Asea HSE 40,Kone TMS50*1999,UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Baladgatan 5 lilla,Dekra,L7786936,April,Hissteknik,320*4,10*10,Slagdörrar,Nej,Nedkollektiv i grupp,Inga automatdörrar,Ingen korgdörr,815*1200*2320,700*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1997,Nej,2024,=SUM(AH15*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin,Asea HSE 30,Kone TMS50*1997,UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Baladgatan 5 stora,Dekra,L7786927,April,Hissteknik,500*6,10*10,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv i grupp,Inga automatdörrar,Ingen korgdörr,1000*1900*2310,900*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1997,Nej,2024,=SUM(AH16*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin dubbel omslutning,Asea HSE 40,Kone TMS50*1997,UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Memoargatan 14,Dekra,L7787097,April,Hissteknik,500*6,10*10,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,1000*2050*2300,900*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1999,Nej,2024,=SUM(AH17*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin dubbel omslutning,Asea HSE 40,Kone TMS50*1999,UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Memoargatan 16,Dekra,L7787104,April,Hissteknik,500*6,10*10,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,1000*2050*2300,900*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1999,Nej,2024,=SUM(AH18*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin dubbel omslutning,Asea HSE 40,Kone TMS50*1999,UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2022-01,,Bostadsbolaget,,,,Kortedala,,Personhiss,Julianska Gatan 18,Dekra,L1551020,Maj,Hissteknik,320*4,11*11,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,1200*1000*2300,700*2000,"Ja, Safeline, GSM med pictogram, Modell, SL6",0.8,30,Nej,Linhiss,1956,1995,Nej,2024,=SUM(AH19*1.3),Enl. Senare,Frekvensstyrd,1;1,Asea,Toppmaskin,MR14*1987,Kone TMS50*1995,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Utanpåliggande dörrstängare byts, Byte till lättviktskorg, Dörrar målas"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällkåpan 10,Dekra,L1553770,Maj,Hissteknik,400*5,7*7,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1997,Nej,2024,=SUM(AH20*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1991,Kone TMS50*1997,"HR utbytt 2017, missljud.","Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällkåpan 11,Dekra,L1553788,Maj,Hissteknik,400*5,7*7,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1997,Nej,2027,=SUM(AH21*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1985,Kone TMS50*1997,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällkåpan 12,Dekra,L1553797,Maj,Hissteknik,400*5,7*7,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1997,Nej,2027,=SUM(AH22*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1985,Kone TMS50*1997,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
